g01.dat	2	mtz	46	46	Opt	0.0	0	0.00%
g01.dat	2	scf	46	46	Opt	0.0	0	0.00%
g01.dat	2	mcf	46	46	Opt	0.02	0	0.00%
g01.dat	5	mtz	477	477	Opt	0.0	0	0.00%
g01.dat	5	scf	477	477	Opt	0.01	0	0.00%
g01.dat	5	mcf	477	477	Opt	0.03	0	0.00%
g02.dat	4	mtz	373	373	Opt	0.04	6	6.57%
g02.dat	4	scf	373	373	Opt	0.02	0	15.10%
g02.dat	4	mcf	373	373	Opt	0.2	0	0.00%
g02.dat	10	mtz	1390	1390	Opt	0.03	36	6.70%
g02.dat	10	scf	1390	1390	Opt	0.11	0	0.00%
g02.dat	10	mcf	1390	1390	Opt	0.14	0	0.00%
g03.dat	10	mtz	725	725	Opt	0.07	0	0.00%
g03.dat	10	scf	725	725	Opt	0.58	0	0.00%
g03.dat	10	mcf	725	725	Opt	1.03	0	0.00%
g03.dat	25	mtz	3074	3074	Opt	1.14	2990	0.97%
g03.dat	25	scf	3074	3074	Opt	1.28	1187	0.02%
g03.dat	25	mcf	3074	3074	Opt	1.34	0	0.00%
g04.dat	14	mtz	909	909	Opt	0.19	76	3.50%
g04.dat	14	scf	909	909	Opt	0.98	303	7.81%
g04.dat	14	mcf	909	909	Opt	5.19	47	1.85%
g04.dat	35	mtz	3292	3292	Opt	0.67	1064	1.18%
g04.dat	35	scf	3292	3292	Opt	1.76	529	0.00%
g04.dat	35	mcf	3292	3292	Opt	3.25	0	0.00%
g05.dat	20	mtz	1235	1235	Opt	0.74	984	2.19%
g05.dat	20	scf	1235	1235	Opt	2.73	1177	3.47%
g05.dat	20	mcf	1235	1235	Opt	9.13	0	0.03%
g05.dat	50	mtz	4898	4898	Opt	1.84	2017	1.22%
g05.dat	50	scf	4898	4898	Opt	2.54	492	0.00%
g05.dat	50	mcf	4898	4898	Opt	9.24	0	0.00%
g06.dat	40	mtz	2068	2068	Opt	34.0	13495	1.13%
g06.dat	40	scf	2068	2068	Opt	13.7	635	1.04%
g06.dat	40	mcf	2068	2068	Opt	381.82	458	0.00%
g06.dat	100	mtz	6705	6705	Opt	24.25	9675	0.12%
g06.dat	100	scf	6705	6705	Opt	8.5	467	0.15%
g06.dat	100	mcf	6705	6705	Opt	274.72	0	0.01%
g07.dat	60	mtz	1335	1335	Opt	9.39	819	0.22%
g07.dat	60	scf	1335	1335	Opt	156.25	1110	0.02%
g07.dat	60	mcf	1335	1335	Opt	803.54	0	0.00%
g07.dat	150	mtz	4534	4534	Opt	11.17	1485	0.05%
g07.dat	150	scf	4534	4534	Opt	63.04	520	0.00%
g07.dat	150	mcf	4534	0	Unk	0	0	0
g08.dat	80	mtz	1620	1620	Opt	11.41	1902	1.06%
g08.dat	80	scf	1620	1620	Opt	254.23	1401	0.00%
g08.dat	80	mcf	1620	0	Unk	0	0	0
g08.dat	200	mtz	5787	5787	Opt	48.92	13774	0.03%
g08.dat	200	scf	5787	5787	Opt	124.85	457	0.00%
g08.dat	200	mcf	5787	0	Unk	0	0	0
g09.dat	200	mtz	2289	2289	Opt	1944.51	103274	0.05%
g09.dat	200	scf	2289	2289	Opt	3589.37	995	0.07%
g09.dat	200	mcf	2289	0	Unk	0	0	0
g09.dat	500	mtz	7595	7595	Fea	3596.28	818264	0.27%
g09.dat	500	scf	7595	7595	Opt	899.64	725	0.02%
g09.dat	500	mcf	7595	0	Unk	0	0	0
g10.dat	400	mtz	4182	4182	Fea	3581.71	27840	0.19%
g10.dat	400	scf	4182	0	Unk	0	0	0
g10.dat	400	mcf	4182	0	Unk	0	0	0
g10.dat	1000	mtz	14991	14991	Fea	3595.3	323408	0.21%
g10.dat	1000	scf	14991	0	Unk	0	0	0
g10.dat	1000	mcf	14991	0	Unk	0	0
